state,date,sex,age,ethnicity,population,area,year,Population_absolute
Labuan,01/01/2023,both,overall,overall,99,91,2023,99000
Putrajaya,01/01/2023,both,overall,overall,118.8,49,2023,118800
Johor,01/01/2024,both,overall,overall,4186.3,19210,2024,4186300
Kedah,01/01/2024,both,overall,overall,2217.5,9500,2024,2217500
Kelantan,01/01/2024,both,overall,overall,1888.5,15099,2024,1888500
Melaka,01/01/2024,both,overall,overall,1047.1,1664,2024,1047100
Negeri Sembilan,01/01/2024,both,overall,overall,1240.1,6686,2024,1240100
Pahang,01/01/2024,both,overall,overall,1668.2,36137,2024,1668200
Perak,01/01/2024,both,overall,overall,2569.6,21035,2024,2569600
Perlis,01/01/2024,both,overall,overall,296.8,821,2024,296800
Pulau Pinang,01/01/2024,both,overall,overall,1800.4,1048,2024,1800400
Sabah,01/01/2024,both,overall,overall,3742.2,73631,2024,3742200
Sarawak,01/01/2024,both,overall,overall,2518.1,124450,2024,2518100
Selangor,01/01/2024,both,overall,overall,7363.4,8104,2024,7363400
Terengganu,01/01/2024,both,overall,overall,1232.1,13035,2024,1232100
Kuala Lumpur,01/01/2024,both,overall,overall,2067.5,243,2024,2067500
Labuan,01/01/2024,both,overall,overall,100.8,91,2024,100800
Putrajaya,01/01/2024,both,overall,overall,120.3,49,2024,120300
