date,sex,age,ethnicity,population,year
01/01/2001,male,40-44,bumi_malay,345.1,2001
01/01/2001,male,40-44,bumi_other,71.3,2001
01/01/2001,male,40-44,chinese,222.5,2001
01/01/2001,male,40-44,indian,61.7,2001
01/01/2001,male,40-44,other_citizen,7.7,2001
01/01/2001,male,45-49,overall,645.8,2001
01/01/2001,male,45-49,bumi_malay,293.3,2001
01/01/2001,male,45-49,bumi_other,56.8,2001
01/01/2001,male,45-49,chinese,202.2,2001
01/01/2001,male,45-49,indian,53,2001
01/01/2001,male,45-49,other_citizen,7,2001
01/01/2001,male,50-54,overall,486,2001
01/01/2001,male,50-54,bumi_malay,218.4,2001
01/01/2001,male,50-54,bumi_other,42.2,2001
01/01/2001,male,50-54,chinese,163.6,2001
01/01/2001,male,50-54,indian,36.8,2001
01/01/2001,male,50-54,other_citizen,4.3,2001
01/01/2001,male,55-59,overall,356.6,2001
01/01/2001,male,55-59,bumi_malay,158.4,2001
01/01/2001,male,55-59,bumi_other,31.3,2001
01/01/2001,male,55-59,chinese,128.3,2001
01/01/2001,male,55-59,indian,24.5,2001
01/01/2001,male,55-59,other_citizen,2.8,2001
01/01/2001,male,60-64,overall,269.3,2001
01/01/2001,male,60-64,bumi_malay,119.6,2001
01/01/2001,male,60-64,bumi_other,24,2001
01/01/2001,male,60-64,chinese,98,2001
01/01/2001,male,60-64,indian,17.6,2001
01/01/2001,male,60-64,other_citizen,2.3,2001
01/01/2001,male,65-69,overall,189.1,2001
01/01/2001,male,65-69,bumi_malay,84.1,2001
01/01/2001,male,65-69,bumi_other,17.6,2001
01/01/2001,male,65-69,chinese,69,2001
01/01/2001,male,65-69,indian,11.8,2001
01/01/2001,male,65-69,other_citizen,1.7,2001
01/01/2001,male,70-74,overall,130.7,2001
01/01/2001,male,70-74,bumi_malay,61.7,2001
01/01/2001,male,70-74,bumi_other,12.4,2001
01/01/2001,male,70-74,chinese,43.5,2001
01/01/2001,male,70-74,indian,8.1,2001
01/01/2001,male,70-74,other_citizen,1.2,2001
01/01/2001,male,75-79,overall,70.8,2001
01/01/2001,male,75-79,bumi_malay,34,2001
01/01/2001,male,75-79,bumi_other,7.3,2001
01/01/2001,male,75-79,chinese,21.9,2001
01/01/2001,male,75-79,indian,4.4,2001
01/01/2001,male,75-79,other_citizen,0.8,2001
01/01/2001,male,80-84,overall,38,2001
01/01/2001,male,80-84,bumi_malay,18.8,2001
01/01/2001,male,80-84,bumi_other,3.5,2001
01/01/2001,male,80-84,chinese,11.4,2001
01/01/2001,male,80-84,indian,2,2001
01/01/2001,male,80-84,other_citizen,0.5,2001
01/01/2001,male,85+,overall,28,2001
01/01/2001,male,85+,bumi_malay,13,2001
01/01/2001,male,85+,bumi_other,2.4,2001
01/01/2001,male,85+,chinese,9.2,2001
01/01/2001,male,85+,indian,1.5,2001
01/01/2001,male,85+,other_citizen,0.3,2001
01/01/2002,female,0-4,overall,1331.8,2002
01/01/2002,female,0-4,bumi_malay,748.9,2002
01/01/2002,female,0-4,bumi_other,164.6,2002
01/01/2002,female,0-4,chinese,259.5,2002
01/01/2002,female,0-4,indian,89.1,2002
01/01/2002,female,0-4,other_citizen,21,2002
01/01/2002,female,5-9,overall,1314.3,2002
01/01/2002,female,5-9,bumi_malay,738.6,2002
01/01/2002,female,5-9,bumi_other,169.9,2002
01/01/2002,female,5-9,chinese,250.8,2002
01/01/2002,female,5-9,indian,86.1,2002
01/01/2002,female,5-9,other_citizen,19.8,2002
01/01/2002,female,10-14,overall,1285.6,2002
01/01/2002,female,10-14,bumi_malay,710.3,2002
01/01/2002,female,10-14,bumi_other,161.9,2002
01/01/2002,female,10-14,chinese,252.5,2002
01/01/2002,female,10-14,indian,85.5,2002
01/01/2002,female,10-14,other_citizen,17.5,2002
01/01/2002,female,15-19,overall,1227.1,2002
01/01/2002,female,15-19,bumi_malay,658.9,2002
01/01/2002,female,15-19,bumi_other,149.1,2002
01/01/2002,female,15-19,chinese,252.3,2002
01/01/2002,female,15-19,indian,84.4,2002
01/01/2002,female,15-19,other_citizen,15,2002
01/01/2002,female,20-24,overall,1089.4,2002
01/01/2002,female,20-24,bumi_malay,542.7,2002
01/01/2002,female,20-24,bumi_other,126,2002
01/01/2002,female,20-24,chinese,237.1,2002
01/01/2002,female,20-24,indian,78.8,2002
01/01/2002,female,20-24,other_citizen,11.9,2002
01/01/2002,female,25-29,overall,973.5,2002
01/01/2002,female,25-29,bumi_malay,449.4,2002
01/01/2002,female,25-29,bumi_other,107,2002
01/01/2002,female,25-29,chinese,225.1,2002
01/01/2002,female,25-29,indian,73.3,2002
01/01/2002,female,25-29,other_citizen,9.6,2002
01/01/2002,female,30-34,overall,922.1,2002
01/01/2002,female,30-34,bumi_malay,427.9,2002
01/01/2002,female,30-34,bumi_other,99.4,2002
01/01/2002,female,30-34,chinese,227.7,2002
01/01/2002,female,30-34,indian,70.8,2002
01/01/2002,female,30-34,other_citizen,9.2,2002
01/01/2002,female,35-39,overall,850.6,2002
01/01/2002,female,35-39,bumi_malay,401.2,2002
01/01/2002,female,35-39,bumi_other,89.5,2002
01/01/2002,female,35-39,chinese,223.4,2002
01/01/2002,female,35-39,indian,67.2,2002
01/01/2002,female,35-39,other_citizen,8.6,2002
01/01/2002,female,40-44,overall,744.4,2002
01/01/2002,female,40-44,bumi_malay,353.1,2002
01/01/2002,female,40-44,bumi_other,71.5,2002
01/01/2002,female,40-44,chinese,210.4,2002
01/01/2002,female,40-44,indian,62.4,2002
01/01/2002,female,40-44,other_citizen,7,2002
01/01/2002,female,45-49,overall,624.8,2002
01/01/2002,female,45-49,bumi_malay,298,2002
01/01/2002,female,45-49,bumi_other,53.8,2002
01/01/2002,female,45-49,chinese,190.3,2002
01/01/2002,female,45-49,indian,54.3,2002
01/01/2002,female,45-49,other_citizen,5.3,2002
01/01/2002,female,50-54,overall,477.9,2002
01/01/2002,female,50-54,bumi_malay,225.4,2002
01/01/2002,female,50-54,bumi_other,40.5,2002
01/01/2002,female,50-54,chinese,154.8,2002
01/01/2002,female,50-54,indian,39.4,2002
01/01/2002,female,50-54,other_citizen,3.8,2002
01/01/2002,female,55-59,overall,344.6,2002
01/01/2002,female,55-59,bumi_malay,160.2,2002
01/01/2002,female,55-59,bumi_other,30.5,2002
01/01/2002,female,55-59,chinese,118.1,2002
01/01/2002,female,55-59,indian,25.5,2002
01/01/2002,female,55-59,other_citizen,2.6,2002
01/01/2002,female,60-64,overall,273.9,2002
01/01/2002,female,60-64,bumi_malay,127.7,2002
01/01/2002,female,60-64,bumi_other,24.6,2002
01/01/2002,female,60-64,chinese,94.4,2002
01/01/2002,female,60-64,indian,19.8,2002
01/01/2002,female,60-64,other_citizen,1.9,2002
01/01/2002,female,65-69,overall,212.1,2002
01/01/2002,female,65-69,bumi_malay,99,2002
01/01/2002,female,65-69,bumi_other,19.5,2002
01/01/2002,female,65-69,chinese,72.4,2002
01/01/2002,female,65-69,indian,15.5,2002
01/01/2002,female,65-69,other_citizen,1.4,2002
01/01/2002,female,70-74,overall,150.4,2002
01/01/2002,female,70-74,bumi_malay,72.1,2002
01/01/2002,female,70-74,bumi_other,13.1,2002
01/01/2002,female,70-74,chinese,51.2,2002
01/01/2002,female,70-74,indian,9.4,2002
01/01/2002,female,70-74,other_citizen,1.1,2002
01/01/2002,female,75-79,overall,89.5,2002
01/01/2002,female,75-79,bumi_malay,42.8,2002
01/01/2002,female,75-79,bumi_other,7.4,2002
01/01/2002,female,75-79,chinese,30.9,2002
01/01/2002,female,75-79,indian,5,2002
01/01/2002,female,75-79,other_citizen,0.7,2002
01/01/2002,female,80-84,overall,49.8,2002
01/01/2002,female,80-84,bumi_malay,22.9,2002
01/01/2002,female,80-84,bumi_other,3.8,2002
01/01/2002,female,80-84,chinese,17.9,2002
01/01/2002,female,80-84,indian,2.8,2002
01/01/2002,female,80-84,other_citizen,0.4,2002
01/01/2002,female,85+,overall,43.6,2002
01/01/2002,female,85+,bumi_malay,19.9,2002
01/01/2002,female,85+,bumi_other,3,2002
01/01/2002,female,85+,chinese,16.2,2002
01/01/2002,female,85+,indian,1.9,2002
01/01/2002,female,85+,other_citizen,0.4,2002
01/01/2002,male,0-4,overall,1410.6,2002
01/01/2002,male,0-4,bumi_malay,792.6,2002
01/01/2002,male,0-4,bumi_other,172.8,2002
01/01/2002,male,0-4,chinese,276.6,2002
01/01/2002,male,0-4,indian,92.5,2002
01/01/2002,male,0-4,other_citizen,22.4,2002
01/01/2002,male,5-9,overall,1400.3,2002
01/01/2002,male,5-9,bumi_malay,782.9,2002
01/01/2002,male,5-9,bumi_other,177.3,2002
01/01/2002,male,5-9,chinese,272.7,2002
01/01/2002,male,5-9,indian,89.1,2002
01/01/2002,male,5-9,other_citizen,20.9,2002
01/01/2002,male,10-14,overall,1354.8,2002
01/01/2002,male,10-14,bumi_malay,740,2002
01/01/2002,male,10-14,bumi_other,166,2002
01/01/2002,male,10-14,chinese,270.1,2002
01/01/2002,male,10-14,indian,89.7,2002
01/01/2002,male,10-14,other_citizen,18,2002
01/01/2002,male,15-19,overall,1289.2,2002
01/01/2002,male,15-19,bumi_malay,675.9,2002
01/01/2002,male,15-19,bumi_other,151.5,2002
01/01/2002,male,15-19,chinese,265.4,2002
01/01/2002,male,15-19,indian,88.3,2002
01/01/2002,male,15-19,other_citizen,15,2002
01/01/2002,male,20-24,overall,1141.6,2002
